Gender,Education_Level,Income_Level,Urban_Rural,Profession,Dowry_Amount_Lakhs
Female,Graduate,Low,Rural,Government Officer,21.74
Female,Graduate,High,Rural,Software Engineer,16.72
Female,School,Middle,Rural,Doctor,19.24
Female,Graduate,Middle,Rural,Teacher,5.27
Male,Postgraduate,Middle,Rural,Business Owner,19.65
Female,Postgraduate,High,Urban,Teacher,9.67
Female,Graduate,High,Rural,Software Engineer,13.24
Female,School,Middle,Urban,Government Officer,21.85
Male,Postgraduate,Middle,Urban,Business Owner,18.65
Male,Postgraduate,High,Rural,Doctor,25.56
Male,School,Middle,Rural,Farmer,3.26
Male,Graduate,Low,Urban,Business Owner,12.38
Male,Postgraduate,High,Urban,Government Officer,15.16
Male,School,Middle,Urban,Teacher,11.36
Male,School,Low,Rural,Software Engineer,20.38
Female,Postgraduate,High,Rural,Teacher,8.56
Female,Graduate,High,Rural,Business Owner,15.78
Female,Postgraduate,Low,Rural,Farmer,8.26
Male,School,High,Urban,Government Officer,23.78
Male,Postgraduate,Middle,Rural,Software Engineer,21.94
Male,Graduate,High,Urban,Government Officer,18.6
Male,School,Middle,Rural,Government Officer,22.71
Male,Graduate,Low,Rural,Farmer,4.82
Female,Postgraduate,Low,Rural,Business Owner,10.92
Female,Postgraduate,High,Urban,Teacher,12.84
Male,Graduate,Low,Urban,Government Officer,17.75
Male,Postgraduate,Low,Rural,Government Officer,17.32
Male,Graduate,High,Urban,Government Officer,23.53
Male,Postgraduate,Middle,Urban,Software Engineer,22.2
Female,Graduate,High,Rural,Government Officer,22.44
Male,Graduate,High,Rural,Government Officer,22.53
Male,School,Middle,Urban,Business Owner,9.44
Male,School,Middle,Rural,Government Officer,20.5
Male,Graduate,Middle,Urban,Farmer,11.57
Female,Postgraduate,High,Urban,Farmer,7.32
Male,Postgraduate,Middle,Rural,Government Officer,21.52
Male,Postgraduate,Low,Urban,Farmer,8.1
Female,Graduate,Middle,Rural,Business Owner,10.46
Female,Graduate,Low,Urban,Software Engineer,13.9
Female,Graduate,Middle,Urban,Farmer,6.9
Male,Graduate,Low,Urban,Farmer,7.35
Male,School,Low,Urban,Teacher,10.03
Female,Graduate,Low,Urban,Business Owner,19.46
Female,Postgraduate,Low,Urban,Farmer,3.9
Female,School,Low,Rural,Software Engineer,17.61
Female,Postgraduate,Middle,Urban,Teacher,10.15
Female,Graduate,High,Urban,Government Officer,24.52
Female,School,High,Urban,Business Owner,14.05
Male,Graduate,High,Rural,Farmer,9.98
Male,School,High,Urban,Government Officer,21.74
Male,Postgraduate,High,Urban,Business Owner,14.8
Female,Graduate,Low,Urban,Teacher,6.31
Female,Graduate,Middle,Rural,Farmer,4.97
Female,School,Low,Rural,Software Engineer,14.8
Female,School,Middle,Rural,Business Owner,8.46
Female,Graduate,Middle,Urban,Software Engineer,17.58
Female,School,Middle,Urban,Government Officer,19.94
Male,Graduate,Middle,Urban,Government Officer,13.88
Male,School,High,Rural,Teacher,6.75
Female,Postgraduate,Middle,Urban,Teacher,12.07
Male,School,Middle,Rural,Doctor,18.39
Female,Postgraduate,High,Rural,Doctor,17.71
Male,School,Low,Urban,Teacher,14.78
Female,School,Low,Urban,Farmer,3.13
Female,Graduate,Low,Rural,Government Officer,16.23
Male,School,Low,Urban,Software Engineer,10.7
Male,School,Middle,Rural,Teacher,13.38
Female,Postgraduate,High,Rural,Farmer,8.25
Female,School,High,Urban,Software Engineer,10.96
Male,Graduate,Low,Urban,Doctor,27.31
Male,Postgraduate,High,Urban,Software Engineer,12.46
Female,Graduate,Middle,Urban,Teacher,9.96
Male,Graduate,Low,Urban,Government Officer,20.7
Female,Graduate,Middle,Urban,Teacher,6.49
Female,Graduate,Middle,Urban,Business Owner,13.96
Female,Postgraduate,Middle,Rural,Farmer,7.12
Female,School,Middle,Urban,Farmer,11.24
Male,Graduate,Middle,Urban,Farmer,11.96
Male,Postgraduate,Low,Urban,Business Owner,15.85
Male,Graduate,Middle,Urban,Business Owner,18.26
Male,School,Low,Rural,Government Officer,20.41
Male,Postgraduate,High,Urban,Farmer,10.89
Male,Postgraduate,Middle,Rural,Teacher,9.33
Male,School,Middle,Rural,Business Owner,15.3
Female,Postgraduate,High,Rural,Teacher,13.45
Male,School,Low,Rural,Doctor,33.36
Male,Postgraduate,Middle,Rural,Farmer,3.22
Female,Postgraduate,High,Urban,Business Owner,9.25
Male,School,High,Rural,Business Owner,19.17
Male,School,Middle,Rural,Government Officer,19.39
Female,Postgraduate,Low,Urban,Teacher,14.9
Male,Postgraduate,Low,Rural,Government Officer,22.3
Male,School,Middle,Urban,Government Officer,22.64
Male,School,High,Urban,Teacher,8.86
Female,Postgraduate,Middle,Urban,Doctor,20.15
Male,Postgraduate,Low,Urban,Teacher,10.98
Male,Postgraduate,High,Rural,Doctor,32.58
Female,School,Middle,Rural,Government Officer,21.43
Male,Postgraduate,High,Rural,Doctor,24.44
Female,Graduate,Low,Urban,Farmer,9.78
Female,School,Low,Urban,Doctor,28.81
Male,Postgraduate,Low,Urban,Doctor,33.26
Female,School,Middle,Rural,Business Owner,11.16
Female,Graduate,High,Urban,Business Owner,9.43
Male,School,Middle,Rural,Government Officer,18.11
Female,Postgraduate,Middle,Rural,Teacher,8.61
Female,Graduate,Middle,Urban,Doctor,34.5
Male,Graduate,Middle,Urban,Farmer,3.07
Male,Postgraduate,High,Urban,Business Owner,19.2
Male,Postgraduate,High,Urban,Teacher,14.55
Female,Postgraduate,Middle,Urban,Farmer,3.46
Male,School,Middle,Rural,Doctor,32.79
Female,School,Low,Rural,Teacher,9.71
Female,School,Low,Urban,Farmer,9.9
Female,Postgraduate,High,Urban,Software Engineer,11.59
Female,Postgraduate,Low,Urban,Farmer,11.6
Female,School,High,Rural,Farmer,8.47
Female,Graduate,High,Rural,Doctor,32.97
Female,School,High,Rural,Teacher,11.73
Male,Graduate,Low,Rural,Doctor,25.74
Male,Postgraduate,Low,Urban,Doctor,18.45
Female,Postgraduate,High,Rural,Software Engineer,13.56
Female,School,High,Rural,Farmer,7.25
Male,School,Middle,Urban,Teacher,13.7
Female,Postgraduate,High,Urban,Government Officer,13.5
Male,School,High,Rural,Business Owner,19.98
Male,Postgraduate,Middle,Urban,Doctor,32.52
Male,Postgraduate,High,Urban,Doctor,22.85
Female,Graduate,High,Urban,Doctor,20.06
Female,School,High,Rural,Doctor,33.44
Male,Postgraduate,Middle,Rural,Business Owner,9.48
Male,School,Low,Urban,Government Officer,16.51
Male,Graduate,High,Urban,Software Engineer,11.68
Male,Graduate,Middle,Rural,Government Officer,24.4
Male,School,High,Rural,Business Owner,15.41
Female,School,Middle,Urban,Teacher,8.36
Male,Postgraduate,High,Urban,Software Engineer,15.51
Female,Graduate,Middle,Rural,Software Engineer,18.88
Male,Graduate,Low,Urban,Teacher,5.91
Female,Graduate,Low,Rural,Farmer,11.0
Female,School,Low,Urban,Doctor,25.22
Female,Postgraduate,High,Rural,Business Owner,16.7
Female,School,Middle,Urban,Teacher,7.34
Female,School,High,Rural,Government Officer,18.55
Female,School,High,Urban,Government Officer,14.74
Male,Postgraduate,Middle,Urban,Farmer,10.34
Female,School,High,Urban,Teacher,12.75
Male,Graduate,Middle,Urban,Business Owner,9.78
Female,Graduate,Middle,Rural,Farmer,3.67
Female,Graduate,Low,Urban,Farmer,10.42
Male,Postgraduate,Low,Rural,Farmer,3.99
Female,School,Low,Rural,Software Engineer,20.97
Male,Postgraduate,Middle,Urban,Software Engineer,20.69
Male,School,Low,Rural,Doctor,19.06
Male,Graduate,Middle,Urban,Business Owner,15.1
Male,School,High,Rural,Government Officer,18.54
Female,School,Low,Urban,Government Officer,18.62
Female,School,Middle,Urban,Doctor,22.19
Male,Postgraduate,Middle,Rural,Government Officer,22.9
Female,School,Middle,Rural,Farmer,3.76
Female,School,Middle,Urban,Doctor,23.77
Male,School,Low,Rural,Doctor,20.2
Female,Postgraduate,Low,Urban,Teacher,13.48
Male,Postgraduate,Low,Urban,Software Engineer,14.5
Male,Postgraduate,Middle,Rural,Business Owner,17.2
Female,School,High,Urban,Business Owner,15.34
Female,Graduate,Middle,Rural,Software Engineer,27.5
Female,Graduate,High,Urban,Farmer,8.34
Male,Graduate,Low,Urban,Business Owner,14.68
Male,School,Middle,Urban,Government Officer,22.41
Female,Graduate,Middle,Rural,Government Officer,19.31
Female,Graduate,Low,Urban,Business Owner,18.13
Female,Graduate,Middle,Urban,Teacher,5.49
Female,School,High,Rural,Business Owner,13.94
Male,Graduate,High,Urban,Doctor,31.25
Female,Graduate,High,Rural,Farmer,10.64
Male,School,Middle,Rural,Doctor,31.68
Male,Postgraduate,Middle,Rural,Software Engineer,22.09
Female,Graduate,High,Urban,Farmer,11.95
Female,Postgraduate,Middle,Rural,Farmer,4.63
Female,Graduate,High,Urban,Government Officer,14.27
Male,School,Low,Rural,Farmer,3.3
Female,Postgraduate,High,Urban,Teacher,14.89
Female,Postgraduate,Low,Rural,Business Owner,12.18
Male,Postgraduate,Low,Rural,Doctor,30.24
Female,Postgraduate,Low,Rural,Government Officer,12.78
Male,Graduate,High,Urban,Government Officer,15.88
Female,Graduate,High,Rural,Teacher,11.24
Male,Postgraduate,Middle,Urban,Teacher,10.25
Female,Graduate,Middle,Urban,Teacher,7.08
Female,Postgraduate,Low,Urban,Teacher,9.62
Male,Postgraduate,High,Urban,Doctor,17.18
Male,School,Middle,Urban,Teacher,10.43
Female,Postgraduate,Middle,Urban,Government Officer,13.26
Male,Graduate,Middle,Rural,Government Officer,20.27
Male,Postgraduate,High,Rural,Farmer,4.4
Male,School,Middle,Urban,Business Owner,14.57
Male,Graduate,Low,Urban,Government Officer,13.68
Female,School,High,Rural,Government Officer,17.21
Female,School,Middle,Rural,Doctor,22.04
Male,Postgraduate,Middle,Urban,Farmer,9.81
Male,School,High,Rural,Government Officer,20.34
Male,School,Middle,Urban,Software Engineer,28.74
Male,Graduate,Middle,Rural,Government Officer,23.98
Female,School,Low,Rural,Business Owner,16.7
Female,Postgraduate,High,Rural,Business Owner,17.25
Male,Postgraduate,Middle,Rural,Farmer,8.62
Male,Postgraduate,High,Rural,Farmer,9.22
Male,School,High,Urban,Teacher,11.17
Female,Graduate,Low,Urban,Doctor,21.24
Male,Postgraduate,Low,Rural,Business Owner,12.21
Female,School,High,Urban,Software Engineer,21.49
Male,Postgraduate,Low,Urban,Software Engineer,24.4
Female,Postgraduate,Low,Rural,Teacher,9.06
Male,Graduate,Middle,Urban,Doctor,17.85
Female,Postgraduate,Low,Urban,Doctor,24.19
Male,Graduate,Low,Rural,Farmer,11.67
Male,School,Middle,Urban,Government Officer,14.78
Male,Postgraduate,Middle,Rural,Software Engineer,22.98
Female,School,High,Rural,Software Engineer,29.65
Male,School,Low,Urban,Software Engineer,17.52
Female,School,Middle,Rural,Software Engineer,27.76
Female,Postgraduate,Low,Urban,Business Owner,18.37
Male,Graduate,High,Urban,Doctor,21.78
Male,Postgraduate,Low,Rural,Government Officer,13.28
Male,School,Low,Urban,Business Owner,10.14
Female,Graduate,Low,Urban,Doctor,22.31
Male,School,Middle,Urban,Teacher,14.59
Female,Graduate,Middle,Urban,Software Engineer,15.49
Female,Postgraduate,High,Urban,Government Officer,24.05
Male,Graduate,Low,Urban,Doctor,18.63
Male,Postgraduate,High,Urban,Teacher,14.7
Male,School,High,Rural,Software Engineer,15.87
Male,Graduate,Middle,Urban,Teacher,11.33
Male,School,Low,Rural,Teacher,5.7
Male,Graduate,Low,Rural,Business Owner,11.6
Female,Postgraduate,High,Urban,Teacher,7.11
Female,Graduate,Low,Rural,Business Owner,8.04
Female,Graduate,Middle,Rural,Farmer,4.41
Male,Postgraduate,High,Rural,Business Owner,15.12
Female,Postgraduate,High,Urban,Teacher,8.9
Female,Postgraduate,Middle,Rural,Doctor,29.45
Female,Graduate,Middle,Rural,Teacher,11.71
Female,School,Middle,Rural,Teacher,12.99
Female,Graduate,Middle,Rural,Doctor,32.34
Male,Graduate,Middle,Rural,Software Engineer,26.4
Male,School,Middle,Rural,Government Officer,17.82
Female,Postgraduate,High,Urban,Farmer,5.78
Female,Graduate,Low,Rural,Software Engineer,20.05
Female,School,Low,Rural,Teacher,10.35
Male,Postgraduate,High,Urban,Software Engineer,16.26
Male,Postgraduate,Low,Urban,Government Officer,19.02
Female,Graduate,Low,Rural,Software Engineer,12.12
Male,Postgraduate,High,Rural,Government Officer,15.0
Male,Postgraduate,Low,Urban,Software Engineer,24.92
Female,School,Low,Rural,Business Owner,10.19
Male,School,High,Rural,Teacher,6.39
Male,Postgraduate,Low,Urban,Government Officer,15.74
Female,School,Middle,Rural,Farmer,6.34
Male,Postgraduate,High,Urban,Teacher,8.29
Male,Graduate,Low,Rural,Business Owner,12.5
Female,School,Low,Rural,Software Engineer,12.8
Male,Postgraduate,Middle,Urban,Teacher,6.65
Male,Postgraduate,High,Urban,Software Engineer,14.72
Female,School,High,Rural,Software Engineer,18.04
Female,School,Low,Rural,Teacher,8.36
Female,Graduate,Middle,Rural,Government Officer,22.29
Male,Postgraduate,Middle,Urban,Government Officer,18.83
Female,Graduate,Middle,Urban,Teacher,10.76
Male,Graduate,Middle,Urban,Government Officer,19.29
Female,Graduate,Middle,Urban,Doctor,22.98
Male,School,Middle,Urban,Software Engineer,29.61
Female,Graduate,High,Urban,Teacher,5.37
Female,School,Low,Rural,Farmer,4.94
Female,School,Low,Urban,Business Owner,11.42
Female,Graduate,Middle,Urban,Teacher,13.81
Male,Graduate,High,Urban,Teacher,14.19
Female,Postgraduate,High,Urban,Software Engineer,26.92
Female,Graduate,Middle,Rural,Business Owner,13.0
Male,Postgraduate,Low,Urban,Software Engineer,28.29
Female,Graduate,Middle,Rural,Farmer,3.89
Male,Graduate,High,Urban,Government Officer,20.48
Female,Graduate,Middle,Rural,Teacher,14.37
Female,Graduate,Low,Urban,Software Engineer,25.1
Female,Postgraduate,Low,Urban,Farmer,5.5
Male,Postgraduate,High,Urban,Farmer,9.46
Female,Graduate,Middle,Urban,Doctor,20.9
Female,Graduate,Middle,Rural,Teacher,6.12
Female,Postgraduate,High,Rural,Farmer,9.45
Male,School,Middle,Urban,Government Officer,14.33
Male,School,High,Urban,Software Engineer,12.22
Female,School,Middle,Rural,Software Engineer,21.04
Male,Postgraduate,Low,Rural,Doctor,27.41
Female,Postgraduate,High,Rural,Government Officer,12.66
Female,School,Middle,Urban,Farmer,3.04
Female,School,Middle,Rural,Doctor,32.64
Female,Graduate,Middle,Urban,Farmer,4.04
Female,Postgraduate,High,Urban,Farmer,8.26
Female,Postgraduate,Low,Rural,Teacher,14.54
Female,School,Middle,Urban,Business Owner,14.14
Male,School,High,Urban,Farmer,4.26
Male,Postgraduate,Middle,Rural,Software Engineer,17.87
Male,Graduate,Low,Urban,Farmer,8.62
Male,School,Low,Rural,Doctor,30.26
Male,Postgraduate,Low,Rural,Farmer,8.46
Male,Postgraduate,High,Rural,Software Engineer,10.69
Male,Graduate,Middle,Urban,Software Engineer,12.86
Female,Graduate,High,Rural,Doctor,22.44
Female,School,Middle,Rural,Software Engineer,24.11
Female,School,High,Urban,Government Officer,19.6
Female,School,Middle,Urban,Government Officer,12.58
Male,Postgraduate,High,Rural,Business Owner,17.56
Male,School,Middle,Urban,Government Officer,19.87
Female,Postgraduate,High,Urban,Doctor,32.74
Female,School,Low,Urban,Farmer,6.76
Male,Graduate,High,Urban,Government Officer,18.37
Female,Graduate,Low,Urban,Business Owner,12.87
Female,Postgraduate,Low,Rural,Teacher,12.22
Female,Graduate,Middle,Rural,Teacher,12.52
Female,Postgraduate,Low,Rural,Doctor,29.46
Male,Postgraduate,Low,Urban,Business Owner,11.5
Female,Graduate,Middle,Urban,Government Officer,20.27
Female,Postgraduate,High,Rural,Business Owner,12.06
Male,Graduate,High,Rural,Software Engineer,26.68
Male,School,Low,Rural,Business Owner,8.66
Female,School,High,Urban,Government Officer,12.49
Male,Graduate,Low,Rural,Doctor,17.03
Female,Graduate,High,Urban,Software Engineer,14.05
Female,Graduate,High,Rural,Business Owner,8.45
Male,Graduate,High,Rural,Teacher,5.72
Female,School,Low,Urban,Government Officer,15.98
Female,Postgraduate,Middle,Urban,Doctor,17.0
Female,Postgraduate,High,Rural,Farmer,10.22
Female,School,High,Rural,Government Officer,12.7
Male,Postgraduate,High,Rural,Business Owner,18.9
Male,School,Low,Urban,Doctor,32.42
Female,Postgraduate,Middle,Urban,Teacher,7.08
Male,Graduate,Low,Rural,Software Engineer,11.43
Female,Graduate,High,Rural,Business Owner,9.27
Female,Graduate,Low,Rural,Doctor,26.18
Female,School,High,Urban,Software Engineer,22.02
Female,School,High,Rural,Doctor,21.31
Female,Postgraduate,Low,Rural,Farmer,5.67
Male,Postgraduate,High,Urban,Business Owner,14.38
Female,Postgraduate,High,Rural,Doctor,21.11
Male,School,Middle,Rural,Teacher,14.34
Male,Postgraduate,Low,Urban,Doctor,22.65
Female,Graduate,Low,Urban,Business Owner,10.64
Female,Postgraduate,High,Rural,Doctor,17.92
Female,Graduate,High,Urban,Software Engineer,22.63
Female,School,Low,Urban,Software Engineer,16.53
Female,Graduate,Low,Urban,Farmer,4.7
Male,Graduate,Low,Urban,Government Officer,15.59
Female,Graduate,High,Urban,Farmer,5.77
Female,School,Middle,Urban,Government Officer,20.14
Male,School,Middle,Urban,Teacher,6.75
Male,School,High,Rural,Software Engineer,24.66
Female,School,High,Urban,Government Officer,15.96
Male,Postgraduate,High,Urban,Doctor,24.77
Female,School,Low,Urban,Teacher,11.55
Male,Graduate,High,Urban,Business Owner,14.52
Male,School,Low,Rural,Government Officer,20.61
Female,Postgraduate,Middle,Rural,Farmer,5.9
Male,Postgraduate,High,Urban,Government Officer,24.52
Male,Postgraduate,High,Rural,Farmer,7.13
Male,Graduate,Low,Rural,Farmer,5.9
Male,School,Low,Rural,Software Engineer,15.93
Male,School,Low,Rural,Teacher,5.43
Male,School,Middle,Rural,Farmer,9.16
Female,Graduate,Middle,Urban,Software Engineer,15.25
Female,Graduate,High,Urban,Software Engineer,29.18
Male,Postgraduate,High,Urban,Farmer,4.89
Female,Postgraduate,Low,Rural,Teacher,10.29
Female,School,Middle,Urban,Doctor,29.71
Female,Graduate,High,Rural,Government Officer,23.31
Male,Graduate,Low,Urban,Software Engineer,13.13
Female,School,Low,Urban,Government Officer,24.81
Male,School,Middle,Urban,Teacher,14.07
Female,Postgraduate,Middle,Urban,Doctor,34.26
Male,Postgraduate,High,Rural,Business Owner,18.23
Male,Postgraduate,High,Urban,Doctor,32.55
Female,School,Low,Urban,Teacher,10.99
Female,School,Low,Rural,Doctor,31.91
Male,Postgraduate,Low,Rural,Business Owner,14.41
Female,Postgraduate,High,Urban,Software Engineer,20.76
Female,Graduate,Middle,Urban,Doctor,26.25
Female,Graduate,High,Rural,Farmer,11.97
Male,Postgraduate,Middle,Rural,Farmer,3.94
Male,Postgraduate,High,Urban,Teacher,13.06
Female,Graduate,High,Rural,Doctor,20.47
Female,Postgraduate,Middle,Rural,Business Owner,12.33
Female,Graduate,High,Urban,Teacher,5.81
Male,Graduate,High,Urban,Doctor,22.03
Male,Graduate,Low,Urban,Teacher,14.91
Female,School,Middle,Rural,Farmer,6.57
Female,School,Middle,Urban,Business Owner,16.04
Female,Postgraduate,Low,Urban,Software Engineer,12.41
Female,Graduate,Middle,Urban,Business Owner,19.07
Female,School,Low,Rural,Software Engineer,26.55
Female,Postgraduate,Middle,Urban,Government Officer,17.02
Male,Postgraduate,Middle,Urban,Farmer,6.14
Female,Postgraduate,Middle,Rural,Farmer,6.89
Male,Postgraduate,Middle,Rural,Farmer,6.61
Female,Postgraduate,Low,Urban,Business Owner,11.1
Female,Graduate,Low,Urban,Software Engineer,29.82
Male,Postgraduate,Middle,Urban,Government Officer,22.54
Male,Graduate,High,Rural,Government Officer,15.48
Male,School,Low,Urban,Government Officer,24.76
Male,Postgraduate,Middle,Urban,Teacher,5.16
Female,School,Low,Rural,Business Owner,13.25
Male,Graduate,High,Rural,Business Owner,14.83
Female,Graduate,High,Urban,Farmer,3.34
Male,School,High,Rural,Business Owner,9.93
Female,Postgraduate,Middle,Urban,Business Owner,11.1
Female,Postgraduate,Middle,Urban,Teacher,12.2
Female,School,High,Rural,Business Owner,19.28
Female,School,Low,Rural,Software Engineer,22.49
Female,School,Low,Rural,Government Officer,19.31
Female,Postgraduate,High,Rural,Teacher,10.37
Male,Postgraduate,Middle,Urban,Teacher,8.51
Female,Postgraduate,Low,Rural,Farmer,10.45
Male,School,Low,Rural,Business Owner,14.49
Male,Postgraduate,Low,Urban,Government Officer,14.99
Female,Graduate,Middle,Urban,Software Engineer,12.74
Male,School,High,Urban,Government Officer,24.81
Female,Postgraduate,Middle,Rural,Doctor,15.35
Male,School,Low,Urban,Government Officer,24.13
Female,Graduate,High,Rural,Software Engineer,14.37
Male,Graduate,Middle,Rural,Software Engineer,23.15
Female,School,High,Rural,Software Engineer,16.03
Female,School,Low,Rural,Teacher,13.6
Female,Graduate,Middle,Urban,Teacher,10.43
Female,School,High,Urban,Doctor,17.82
Male,Graduate,Middle,Urban,Government Officer,15.51
Female,Graduate,Low,Urban,Business Owner,11.84
Male,Postgraduate,High,Urban,Farmer,10.97
Male,School,Low,Rural,Doctor,30.33
Male,School,High,Rural,Business Owner,17.96
Female,Postgraduate,Low,Rural,Business Owner,8.63
Male,Graduate,Low,Rural,Doctor,26.58
Male,School,Middle,Urban,Government Officer,24.99
Male,Postgraduate,Low,Rural,Farmer,10.07
Female,Postgraduate,Middle,Rural,Business Owner,9.45
Female,School,Low,Rural,Teacher,11.79
Male,Postgraduate,Low,Rural,Teacher,12.45
Female,Graduate,Low,Rural,Doctor,25.28
Female,Postgraduate,High,Rural,Farmer,3.71
Male,Graduate,Middle,Urban,Farmer,3.31
Male,Graduate,High,Urban,Business Owner,19.25
Female,School,Middle,Rural,Doctor,20.15
Male,Postgraduate,Low,Rural,Farmer,6.41
Female,Graduate,High,Rural,Farmer,10.16
Female,Graduate,Middle,Rural,Teacher,11.89
Female,Postgraduate,Low,Rural,Doctor,34.37
Female,Graduate,Middle,Urban,Business Owner,9.11
Female,Postgraduate,Middle,Urban,Business Owner,16.48
Female,School,Low,Rural,Teacher,5.82
Male,Graduate,High,Urban,Software Engineer,10.0
Male,Graduate,Low,Rural,Software Engineer,12.4
Female,Postgraduate,High,Rural,Farmer,8.55
Female,Postgraduate,Middle,Urban,Government Officer,20.79
Female,Postgraduate,Middle,Urban,Teacher,9.38
Male,Postgraduate,Middle,Urban,Government Officer,12.6
Female,Graduate,High,Urban,Farmer,8.71
Male,School,Low,Rural,Teacher,5.86
Female,School,High,Urban,Business Owner,9.7
Female,School,Middle,Urban,Teacher,10.13
Male,School,Middle,Urban,Doctor,21.81
Male,Postgraduate,Low,Rural,Government Officer,18.04
Female,Graduate,High,Rural,Teacher,11.35
Female,Graduate,Middle,Rural,Government Officer,14.08
Female,Graduate,High,Urban,Farmer,11.04
Male,Postgraduate,High,Urban,Teacher,10.59
Male,Graduate,Low,Urban,Software Engineer,10.44
Male,Postgraduate,Low,Rural,Government Officer,20.17
Male,Graduate,Middle,Urban,Business Owner,13.56
Male,School,Low,Urban,Business Owner,16.42
Male,Postgraduate,High,Rural,Teacher,12.84
Female,Graduate,Low,Urban,Business Owner,19.27
Female,School,High,Urban,Business Owner,19.98
Male,School,Middle,Urban,Government Officer,19.15
Female,School,High,Urban,Teacher,10.62
Female,Postgraduate,Low,Rural,Government Officer,12.29
Male,Postgraduate,Low,Rural,Teacher,13.65
Female,Graduate,Middle,Rural,Business Owner,8.34
Male,School,Low,Urban,Teacher,11.33
Male,Graduate,Middle,Urban,Farmer,3.89
Female,Graduate,Middle,Rural,Teacher,7.86
Male,School,Low,Urban,Doctor,17.81
Male,Graduate,High,Rural,Teacher,6.37
Male,Postgraduate,Middle,Rural,Doctor,16.49
Male,Graduate,High,Urban,Government Officer,16.13
Male,School,Low,Rural,Doctor,23.47
Male,Postgraduate,High,Rural,Government Officer,18.04
Male,Postgraduate,High,Rural,Teacher,9.4
Male,Graduate,High,Rural,Government Officer,18.81
Female,Graduate,High,Rural,Business Owner,18.32
Female,Postgraduate,Low,Rural,Farmer,8.69
Female,Graduate,Low,Urban,Teacher,5.17
Male,School,High,Rural,Doctor,18.46
Male,Graduate,Low,Rural,Farmer,6.14
Female,Graduate,Low,Urban,Software Engineer,28.98
Female,Postgraduate,Middle,Urban,Farmer,3.7
Female,Graduate,Low,Rural,Teacher,12.1
Male,Graduate,High,Urban,Farmer,3.3
Female,Graduate,Low,Urban,Farmer,6.26
Female,School,Low,Rural,Business Owner,17.24
Male,Graduate,Low,Urban,Government Officer,16.47
Female,School,Low,Rural,Farmer,6.87
Male,School,Middle,Rural,Doctor,33.11
Male,School,High,Rural,Doctor,16.32
Male,School,High,Rural,Business Owner,14.33
Female,Postgraduate,Low,Urban,Farmer,6.3
Female,School,Low,Rural,Farmer,11.67
Male,Graduate,Middle,Urban,Business Owner,17.52
Female,School,Low,Urban,Teacher,6.22
Female,Graduate,Middle,Rural,Software Engineer,28.55
Female,School,High,Rural,Software Engineer,14.22
Female,Postgraduate,High,Urban,Government Officer,13.1
Male,School,Middle,Rural,Doctor,25.83
Female,School,High,Rural,Teacher,12.37
Male,Postgraduate,Low,Rural,Doctor,29.32
Male,School,Low,Urban,Teacher,10.34
Female,Graduate,Middle,Urban,Business Owner,13.91
Male,School,High,Urban,Government Officer,24.6
Female,School,High,Urban,Business Owner,17.85
Female,School,Middle,Rural,Doctor,28.97
Male,Postgraduate,Middle,Rural,Government Officer,14.54
Male,School,High,Urban,Farmer,10.38
Male,School,Middle,Urban,Teacher,12.5
Male,Graduate,Low,Urban,Teacher,14.92
Female,School,High,Urban,Government Officer,13.73
Female,School,Middle,Urban,Business Owner,16.58
Female,School,Middle,Rural,Government Officer,24.73
Male,School,Middle,Urban,Business Owner,13.55
Male,Graduate,High,Urban,Government Officer,21.53
Male,Graduate,Low,Rural,Business Owner,19.7
Female,Postgraduate,Low,Rural,Software Engineer,20.95
Male,School,High,Rural,Government Officer,21.09
Female,Postgraduate,Middle,Urban,Business Owner,8.24
Male,Postgraduate,High,Rural,Farmer,7.68
Female,School,High,Urban,Doctor,20.12
Female,Graduate,Middle,Urban,Doctor,17.62
Male,Graduate,High,Rural,Government Officer,21.21
Male,School,Low,Urban,Government Officer,12.51
Female,School,High,Urban,Teacher,14.05
Female,Graduate,Middle,Rural,Business Owner,14.21
Male,School,High,Rural,Government Officer,20.43
Male,School,Low,Rural,Doctor,20.07
Female,School,High,Rural,Doctor,18.64
Male,Graduate,High,Rural,Doctor,19.88
Female,Postgraduate,High,Rural,Business Owner,10.79
Female,Postgraduate,High,Rural,Software Engineer,27.29
Male,School,Middle,Rural,Government Officer,22.24
Male,Graduate,Low,Rural,Software Engineer,27.05
Male,School,Low,Rural,Business Owner,16.82
Male,Graduate,Low,Urban,Farmer,8.79
Male,School,High,Urban,Government Officer,18.86
Female,Graduate,Low,Urban,Teacher,7.65
Female,Graduate,Middle,Rural,Government Officer,21.17
Male,Postgraduate,High,Urban,Government Officer,13.78
Male,School,High,Urban,Government Officer,18.64
Male,Postgraduate,Low,Urban,Government Officer,14.54
Female,Postgraduate,High,Urban,Farmer,7.54
Male,Graduate,High,Urban,Government Officer,15.82
Male,School,Low,Rural,Business Owner,8.64
Female,Graduate,Middle,Rural,Government Officer,18.55
Female,Graduate,Middle,Rural,Farmer,4.64
Male,Graduate,Low,Urban,Business Owner,9.93
Male,School,Middle,Urban,Government Officer,17.0
Male,School,Middle,Rural,Government Officer,16.7
Female,Graduate,Middle,Rural,Business Owner,18.4
Male,School,High,Rural,Government Officer,19.34
Male,Graduate,High,Urban,Farmer,10.69
Male,School,High,Rural,Doctor,17.94
